,sigma,function,mae_nn_interp.,mae_nn_extrap.,mae_mdl_interp.,mae_mdl_extrap.,rmse_nn_interp.,rmse_nn_extrap.,rmse_mdl_interp.,rmse_mdl_extrap.,r
0,0.0,1,0.005506354346742322,0.8076746772957963,1.2337497921436717e-16,6.661338147750939e-16,0.006952240253566086,1.0807788691173918,1.968682191727399e-16,8.514391131271971e-16,0
1,0.0,1,0.0029404343655724404,0.7368826028364505,1.183225970905847e-16,4.797259982948207e-16,0.004160574337345678,1.0237290520084574,2.0845922586582832e-16,7.4055976263919785e-16,1
2,0.0,1,0.005565114744608556,0.913865554790859,1.411848069010624e-16,8.662480883495049e-16,0.0071713930057138164,1.204467240584037,2.3807115292023343e-16,1.1143273751277045e-15,2
3,0.02,1,0.01277080533437901,0.9090394508306138,0.003273080981717589,0.2350146192997229,0.01657244903845799,1.1894216526253993,0.0065539316440293635,0.2940264295628461,0
4,0.02,1,0.0037157416947269867,0.7685578130759143,0.001770215159802825,0.017528051352366816,0.004839242864712849,1.0646964491758997,0.002444489857704107,0.01886998292069268,1
5,0.02,1,0.009138856480779589,0.9905450118251011,0.001249867810357437,0.0045735635261897984,0.011873299872482862,1.3159109755210554,0.0017780560991729844,0.0048754056831676745,2
6,0.04,1,0.008832522890219933,1.0799731449549022,0.006816566718254505,0.07760635751523003,0.01183658272062063,1.416304242807484,0.008706185415719169,0.08599518910856242,0
7,0.04,1,0.02669510497714763,1.2548782204863358,0.002899625983476442,0.012203952604686232,0.034180121193900515,1.5518017123205867,0.003408515036867941,0.012437355676998817,1
8,0.04,1,0.0069212189447125875,0.5936126138905883,0.008299959039487971,0.055539812927188695,0.009704786820753637,0.8854629085005202,0.010194350348337518,0.06166786124646998,2
9,0.06,1,0.011481717196972665,0.8267389234681093,0.009058410532841017,0.04385884262865319,0.015206354946860774,1.1165619155838518,0.010968447713119956,0.053635742186036194,0
10,0.06,1,0.01372816089600993,0.7845804483859334,0.012368173422682514,0.013857083352275604,0.017766983724894877,1.0980320775436336,0.016339790813958314,0.017183389701712425,1
11,0.06,1,0.023343487008908686,0.9704444797158291,0.01930702096712753,0.03130317393253896,0.025893874659448996,1.262521393717633,0.020801627918785676,0.03916164249950493,2
12,0.08,1,0.02024337974116438,1.0019326565652595,0.016233764692041488,0.12153822477722555,0.021541730471220936,1.3630877310575629,0.020152346811498596,0.1408007635938132,0
13,0.08,1,0.009164886356521558,1.1350434288215114,0.025880215503302963,0.39201505007662335,0.01672449461271932,1.4450506277428052,0.030806931944938176,0.5667072796980195,1
14,0.08,1,0.0361305324315192,0.7180851126048527,0.02155254720821908,1.037945604829518,0.04279509120574499,1.0044895468475417,0.03014794636144009,1.35803350562136,2
15,0.1,1,0.01743492333898998,1.3445939945443295,0.019773295081244143,0.3209592706440308,0.035441796585706654,1.6604229210637627,0.030613837344022517,0.35032086181106065,0
16,0.1,1,0.013340790845448565,1.0773138080143656,0.018979900832879624,0.10333818938520364,0.021208135255044416,1.4284071213119365,0.026049017169760397,0.10998511034731076,1
17,0.1,1,0.02991624221021789,1.302767484165951,0.013403477902647476,0.1198719816853395,0.03994109398014159,1.618818172292675,0.016674350676983644,0.13466537321489513,2
18,0.12,1,0.03749159392936952,1.6240640453797497,0.011683017774815223,0.1239460877418659,0.04928109603873024,1.965615178503093,0.014954070136858793,0.13575869996532905,0
19,0.12,1,0.03998643931577391,1.1606382363491081,0.02865187284425901,0.09860041941973628,0.04543807287929495,1.5092870320294471,0.0333503582063256,0.09927512075398927,1
20,0.12,1,0.03568907723756594,1.1137681800664423,0.019094347648944843,0.1711824235053544,0.04223324999035091,1.435802317741621,0.028327491213834325,0.18668326367046403,2
