,sigma,function,mae_nn_interp.,mae_nn_extrap.,mae_mdl_interp.,mae_mdl_extrap.,rmse_nn_interp.,rmse_nn_extrap.,rmse_mdl_interp.,rmse_mdl_extrap.,n,r
0,0.0,tanh,0.009377365445375591,0.05658630672275029,0.0011370058279328071,0.009392899137189225,0.012385790312839628,0.06014638918646831,0.001339908826641185,0.011199330257102654,0,0
1,0.0,tanh,0.01035893217778353,0.025726844410950814,0.0028271958302303972,0.3091835382178108,0.01212193022280634,0.026266471463306823,0.0034542655913640877,0.4544970471379306,1,0
2,0.0,tanh,0.0047907995699709455,0.08238694666155011,0.0009969200491341263,0.05673615631809918,0.006643214626164349,0.08590828160215802,0.0012219958411837286,0.06999310371366914,2,0
3,0.0,tanh,0.001278207477528245,0.0718550890262467,0.0003143094730039491,0.041854592238469504,0.0014607401390019398,0.08927042528035392,0.00040638403268784086,0.048799162976005186,3,0
4,0.0,tanh,0.0021321549273674305,0.012803174134581445,0.00016533556799462485,0.0028348500023339346,0.002459046116670265,0.01409283462260268,0.0002481975708545043,0.003921150476668365,4,0
5,0.0,tanh,0.002444649384438197,0.11194798200518857,0.0004598485240460866,0.13902601672392373,0.0031464175608494536,0.13864945599176492,0.0006156398376219516,0.16619438537266082,5,0
6,0.0,tanh,0.0012379963360079928,0.009414099119016875,0.00032645844210070556,0.017567436433525117,0.001619663907173144,0.010869802199035002,0.0003950162982218573,0.022244788335344358,6,0
7,0.0,tanh,0.003028430870530919,0.011872511375900275,0.0006968933488452324,0.024947333909563312,0.00429674607255449,0.017156339250541167,0.0008981142397000215,0.03225582049157645,7,0
8,0.0,tanh,0.0010942433727804861,0.003251050782881957,5.4002010662032295e-05,0.05662447898555677,0.0012851903494840156,0.004769622495837114,8.350314160653629e-05,0.08174777863157028,8,0
9,0.0,tanh,0.0007129851531624269,0.04298283954060963,1.462624255624128e-05,0.1586175722344708,0.0008249779326902951,0.0523205870358528,1.6641087039133332e-05,0.4352158232991487,9,0
10,0.0,tanh,0.009364808468245103,0.049139712155766846,0.0006356181136731317,0.002193237563702318,0.012521384315633103,0.05154515622283531,0.0007968715843488397,0.002386184326872216,0,1
11,0.0,tanh,0.005827996240657137,0.016493052577337495,0.002582100974029141,272313352.8865551,0.006797511708625376,0.016606799441475067,0.003398116029545872,1461299404.337022,1,1
12,0.0,tanh,0.006012917694090765,0.19524892492294962,0.0005619449479388528,0.18466732826384175,0.008702043920771852,0.206384158524814,0.0007538879918736602,0.2333891823072005,2,1
13,0.0,tanh,0.0023342329585045426,0.10680533595497295,0.0003287965227113172,0.10000453161215313,0.0027954992857597686,0.12944861077262393,0.0004358324314747049,0.13935728730743777,3,1
14,0.0,tanh,0.000900150674975532,0.02108694931476205,0.00034867853326772154,0.006336633681672713,0.0011471561819015978,0.024793645236605245,0.0004760129468967378,0.008684357877439387,4,1
15,0.0,tanh,0.0015158018785498906,0.17532008476817845,0.0001894748696157196,0.0028294549882858853,0.0018614684872569217,0.2113197566710457,0.00021503479261706336,0.0036729275504184325,5,1
16,0.0,tanh,0.0011447591585388816,0.03180387175198002,0.0007895282367398603,0.0005942619012078387,0.0013512467906857187,0.03554587673062299,0.0009874924350791005,0.0007722584392662391,6,1
17,0.0,tanh,0.002622741291660328,0.009753108431439386,0.0005215134143939299,0.023155986138916562,0.003381167533762045,0.013518996842422876,0.0006001898562191028,0.02900657563523429,7,1
18,0.0,tanh,0.0015106725556581796,0.041773902085874996,3.3622799088801243e-05,inf,0.0017309948033482376,0.04899807406378535,5.098676422621827e-05,inf,8,1
19,0.0,tanh,0.0006745501651988499,0.03707323359160275,3.494502814797725e-05,0.0345506499288025,0.0008150274466126858,0.045367585766675815,4.0924573216267844e-05,0.04346059101581227,9,1
20,0.0,tanh,0.010193404623263956,0.07187231786397491,0.0005480469197225258,0.02065871787759454,0.014080278796578529,0.07618732679784378,0.0006495728862167651,0.02638374328985628,0,2
21,0.0,tanh,0.005615498451317395,0.02640522830664833,0.002592943992210032,0.1775368895932578,0.007081167663854436,0.026710104980742118,0.003316335514228661,0.249528001891395,1,2
22,0.0,tanh,0.004617766123779754,0.1861676447883205,0.004243207164912779,0.08738968361522319,0.008093231623263124,0.19558191333935296,0.004896361868850392,0.10346134497685347,2,2
23,0.0,tanh,0.0007455172142995536,0.0797967146881474,0.00032471047441420326,0.04535472457726852,0.0009617760396444127,0.0966794274708332,0.0004192550374195263,0.053853089932283986,3,2
24,0.0,tanh,0.0014578037922347781,0.013263408613394196,0.0004889973980666699,0.0058034780224582435,0.0021441936304517333,0.015854472820406078,0.0005950852022040217,0.008020968843006198,4,2
25,0.0,tanh,0.0019438903179372431,0.12199214888633318,0.00010957457970067267,0.1950046817965259,0.002381062693771992,0.14846419620475074,0.00013133008375777703,0.28607202849385527,5,2
26,0.0,tanh,0.0015138803934783322,0.02039894397407088,0.00019522973971730788,0.015584325036300578,0.0017603828135834907,0.023791080508561612,0.00024108802899879732,0.01994180451966222,6,2
27,0.0,tanh,0.0031362570797193066,0.013959242956061328,0.00024809243131548327,0.02092248236473799,0.004247180789322566,0.019663641455312724,0.0002927474987560298,0.027351332463238287,7,2
28,0.0,tanh,0.0007147199231281596,0.0013249411022127533,2.855629900285852e-05,0.0010758103816649145,0.0008914743571008735,0.0018759688975556008,3.315316496811548e-05,0.0014572178552037611,8,2
29,0.0,tanh,0.0007972056876271658,0.042501462701864834,0.6201860456782416,0.3537913124221291,0.0009530907652000817,0.05201731332979175,0.7069413897869061,0.3628219472194092,9,2
30,0.02,tanh,0.013339561633605584,0.07753009830632333,0.010980647458971354,0.01768489742717264,0.016115219255843024,0.08190904909630803,0.012806304531209995,0.031198018435363885,0,0
31,0.02,tanh,0.008104225523682732,0.04024395409239625,0.015964233271878896,0.22623694416353715,0.01063553584395211,0.040951686862221684,0.01968462361738868,0.25201385618512545,1,0
32,0.02,tanh,0.012259468414039397,0.2062207565649196,0.2038054221362265,4.281235485352646,0.01759462386078805,0.22416127624096427,0.41603896305384663,5.609797191798048,2,0
33,0.02,tanh,0.009901875807501497,0.13916637569214366,0.005992029841086787,0.5556411081108755,0.012086752848001729,0.16332360607425006,0.008628691654539626,0.6962982195877769,3,0
34,0.02,tanh,0.008396452360348076,0.032718069567970555,0.0030400944244719018,0.038559603909493374,0.010218677892794037,0.03472201819841336,0.00496748106637277,0.039679116736241166,4,0
35,0.02,tanh,0.009352185335666353,0.09802265422720166,0.006653059108577061,0.09600223225428244,0.011547099564022225,0.12347568007030275,0.008492058676022896,0.12124114562438504,5,0
36,0.02,tanh,0.0064504215058507905,0.005143316512479482,0.00862885827058649,0.031137634587216214,0.007477000925329883,0.006730794891873399,0.012143576155390376,0.033109757341485226,6,0
37,0.02,tanh,0.0181586730256699,0.046843258173408175,0.0072823125959042756,121.20647493787142,0.02173091231641056,0.04757838025598875,0.010671343032400393,348.62309299447105,7,0
38,0.02,tanh,0.006356985167845314,0.056874649037551954,0.010052684571060788,0.27538421181701234,0.007299842326237718,0.060473760011014635,0.013020197861485656,0.31895504189795404,8,0
39,0.02,tanh,0.006052454282879379,0.008061008269639193,0.006300635995702888,0.04479391121160871,0.007112377747136896,0.008898677844574229,0.008370465213174834,0.055049913314041944,9,0
40,0.02,tanh,0.011737501593738554,0.07985258961393435,0.00827418233511431,0.02330416907916894,0.015440429173188172,0.08494350583675829,0.010358604583776465,0.03896450378070548,0,1
41,0.02,tanh,0.009336101409511214,0.059125368536667874,0.01433913701137176,1.0990176758789394,0.011973021927447916,0.06157395495500886,0.019781703548047508,1.4518026379080227,1,1
42,0.02,tanh,0.011458466938897412,0.09874311234448917,0.007276293204589287,1.1499990998911316,0.014453919411880987,0.1029133415167316,0.009019944158430642,1.6808121999659351,2,1
43,0.02,tanh,0.008788454634272897,0.06933706678270747,0.005624968422901815,0.6932745353857698,0.011027281255698879,0.08526292593387387,0.00810939755355769,0.8664385388096201,3,1
44,0.02,tanh,0.005764166343982903,0.029061234748362967,0.0035463034687028745,0.03238848517764878,0.006740594352053636,0.030083286659469737,0.005469837013263103,0.03371338964680687,4,1
45,0.02,tanh,0.004891799305292366,0.12531445454439577,0.005006171036568446,0.09391002479991598,0.006456858122246849,0.15260461125427865,0.005928220948245294,0.11878098391158484,5,1
46,0.02,tanh,0.006712635919704206,0.02813386514581812,0.010264974673091867,0.025777561252361324,0.008250240752565526,0.030453102198157694,0.016253072980325693,0.02834101684187082,6,1
47,0.02,tanh,0.010555125031704951,0.011282828446489084,0.008118963256910184,0.03864703963686494,0.012725201130921057,0.012363027051933788,0.010546147577654257,0.045204646107522395,7,1
48,0.02,tanh,0.005850068988130242,0.02252984983963553,0.008335296012976659,0.29932824427531507,0.0068169707998476945,0.02482353808881579,0.010937685307502644,0.3468256194432152,8,1
49,0.02,tanh,0.0039001963336137255,0.04915386600139472,0.005596877680769223,0.048679926636060224,0.004856269211732476,0.057198672751503865,0.007038666835939208,0.05917958368311471,9,1
50,0.02,tanh,0.011681369519742689,0.00664557332960234,0.008830637058960885,0.020472288944078626,0.014928080096440356,0.007939829749307098,0.011697388022307879,0.022881031738198908,0,2
