,sigma,function,mae_nn_interp.,mae_nn_extrap.,mae_mdl_interp.,mae_mdl_extrap.,rmse_nn_interp.,rmse_nn_extrap.,rmse_mdl_interp.,rmse_mdl_extrap.,r
21,0.14,1,0.0729033355590354,1.762825968287964,0.027291852350943065,0.38510763252624797,0.09164425651439119,2.0553116056194782,0.03241929616036363,0.557281911859904,0
22,0.14,1,0.042514579565172524,1.5752467771143757,0.07491557767305969,2.4559454054969536,0.0550729462638111,1.9218634577929998,0.08984132469176957,2.9484219096125766,1
23,0.14,1,0.0805212085190003,2.030258843225185,0.041563994710127256,0.22867282593228677,0.11580048902449737,2.3286572737047857,0.05938468302508756,0.2392644750776032,2
24,0.16,1,0.048789400559209495,0.5866311046525381,0.02464657400882901,0.3616297328201435,0.05731516537401655,0.8756428870571071,0.038213464574841496,0.39537314316272615,0
25,0.16,1,0.04915276335107809,0.9319681182265875,0.055256220463525636,0.9543585332105363,0.0600594100282478,1.205461541274939,0.07477396623916345,1.1417454502197488,1
26,0.16,1,0.03329731427864563,1.1309472977480168,0.0751318040826365,0.2715982019425226,0.041676785480367164,1.5223971170917674,0.0845491124062775,0.288666782213242,2
27,0.18,1,0.039431830145559135,1.0745410412577079,0.06287990413336093,0.9051218260394128,0.05292000794326455,1.4378482739214578,0.0799344061109435,1.0881538145195888,0
28,0.18,1,0.036782557060300806,0.8591179323545627,0.04537534691039208,0.5758983111466386,0.04332888432811392,1.1601867503308445,0.05981447611637374,0.6372224166217384,1
29,0.18,1,0.04400346378123969,0.9894982011995811,0.04338729837951599,0.3547923837939355,0.052210142353106274,1.3038168576863465,0.061542559950934134,0.36460569846764807,2
30,0.2,1,0.025897360098766142,0.7314152344743472,0.024635527674467115,0.09820487589745934,0.030788451461385136,1.0165116928253517,0.03037120756676091,0.11790272564310657,0
31,0.2,1,0.040353658808522784,1.5606406121257148,0.09549734851505308,1.554632980682987,0.053202848755146324,1.8847700101557059,0.11695530833483239,1.8357883022319479,1
