,sigma,function,mae_nn_interp.,mae_nn_extrap.,mae_mdl_interp.,mae_mdl_extrap.,rmse_nn_interp.,rmse_nn_extrap.,rmse_mdl_interp.,rmse_mdl_extrap.,n,r
22,0.0,tanh,0.004617766123779754,0.18812675239184246,0.004243207164912779,0.08837049848264103,0.008093231623263124,0.19677297877229044,0.004896361868850392,0.10410118849350755,2,2
23,0.0,tanh,0.0007455172142995536,0.08079272768549761,0.00032471047441420326,0.04591724564772328,0.0009617760396444127,0.09728179647308467,0.0004192550374195263,0.054188612073840556,3,2
24,0.0,tanh,0.0014578037922347781,0.01342659702165928,0.0004889973980666699,0.005871720584226053,0.0021441936304517333,0.015953238533908884,0.0005950852022040217,0.008070852533448278,4,2
25,0.0,tanh,0.0019438903179372431,0.12349316151811214,0.00010957457970067267,0.19744197898722332,0.002381062693771992,0.1493890629147082,0.00013133008375777703,0.2878544259685926,5,2
26,0.0,tanh,0.0015138803934783322,0.020615175731612517,0.00019522973971730788,0.015774773742284337,0.0017603828135834907,0.023936803241006405,0.00024108802899879732,0.020066015911571207,6,2
27,0.0,tanh,0.0031362570797193066,0.014114820804657513,0.00024809243131548327,0.021179005039377505,0.004247180789322566,0.019785434416298976,0.0002927474987560298,0.02752171094189104,7,2
28,0.0,tanh,0.0007147199231281596,0.0013376954786912503,2.855629900285852e-05,0.0010889383261884391,0.0008914743571008735,0.0018873500867776915,3.315316496811548e-05,0.0014662943940768245,8,2
29,0.0,tanh,0.0007972056876271658,0.04301804536496876,0.6201860456782416,0.3556030026595932,0.0009530907652000817,0.05234124705936033,0.7069413897869061,0.36433501287191083,9,2
30,0.02,tanh,0.013339561633605584,0.07810607357822048,0.010980647458971354,0.01775127492537486,0.016115219255843024,0.08234434142012885,0.012806304531209995,0.03136189797305484,0,0
31,0.02,tanh,0.008104225523682732,0.04050295029018791,0.015964233271878896,0.2285197175731967,0.01063553584395211,0.04114898184415096,0.01968462361738868,0.25353716211831356,1,0
32,0.02,tanh,0.012259468414039397,0.20864383794034563,0.2038054221362265,4.325190405744816,0.01759462386078805,0.22555369031194664,0.41603896305384663,5.64410179315532,2,0
33,0.02,tanh,0.009901875807501497,0.14083034861817387,0.005992029841086787,0.5624460832255533,0.012086752848001729,0.1643398171295242,0.008628691654539626,0.7006354406128059,3,0
34,0.02,tanh,0.008396452360348076,0.033039733005455665,0.0030400944244719018,0.038798472915624785,0.010218677892794037,0.03492962786452134,0.00496748106637277,0.03986707773298402,4,0
35,0.02,tanh,0.009352185335666353,0.09903877897028109,0.006653059108577061,0.09707168592943342,0.011547099564022225,0.12423092140593475,0.008492058676022896,0.1219909591502389,5,0
36,0.02,tanh,0.0064504215058507905,0.005146108954159859,0.00862885827058649,0.03144219762320637,0.007477000925329883,0.006750357366091604,0.012143576155390376,0.03330744483777829,6,0
37,0.02,tanh,0.0181586730256699,0.04692831050267827,0.0072823125959042756,122.72107553947367,0.02173091231641056,0.04766507584402182,0.010671343032400393,350.79522048153217,7,0
38,0.02,tanh,0.006356985167845314,0.0573586572434168,0.010052684571060788,0.27843382119230853,0.007299842326237718,0.060816687696848566,0.013020197861485656,0.3209230999726119,8,0
39,0.02,tanh,0.006052454282879379,0.008147811502598959,0.006300635995702888,0.04535048857445933,0.007112377747136896,0.008953251314578638,0.008370465213174834,0.055392898659417364,9,0
40,0.02,tanh,0.011737501593738554,0.08048350071977196,0.00827418233511431,0.023435852559148145,0.015440429173188172,0.08540961355809923,0.010358604583776465,0.03918127375621511,0,1
41,0.02,tanh,0.009336101409511214,0.05957320132885209,0.01433913701137176,1.1124985967663832,0.011973021927447916,0.06190281442579951,0.019781703548047508,1.4608464190249237,1,1
42,0.02,tanh,0.011458466938897412,0.09978977513307033,0.007276293204589287,1.1643018602231758,0.014453919411880987,0.10354095337436299,0.009019944158430642,1.6912845280564777,2,1
43,0.02,tanh,0.008788454634272897,0.07017365401515345,0.005624968422901815,0.7016159863227154,0.011027281255698879,0.08579374111190723,0.00810939755355769,0.8718321313664018,3,1
44,0.02,tanh,0.005764166343982903,0.029259437802867695,0.0035463034687028745,0.03262731018033489,0.006740594352053636,0.0302346992840915,0.005469837013263103,0.03389092421889773,4,1
45,0.02,tanh,0.004891799305292366,0.12687499449674783,0.005006171036568446,0.09491312147761823,0.006456858122246849,0.15355541896076122,0.005928220948245294,0.11951129837150042,5,1
46,0.02,tanh,0.006712635919704206,0.02837260013417563,0.010264974673091867,0.02599275172640957,0.008250240752565526,0.03062618848587486,0.016253072980325693,0.028501525991020602,6,1
47,0.02,tanh,0.010555125031704951,0.01126698064303549,0.008118963256910184,0.039073031418035364,0.012725201130921057,0.012360663708447678,0.010546147577654257,0.045483430849736536,7,1
48,0.02,tanh,0.005850068988130242,0.022750650820187297,0.008335296012976659,0.3026497377352412,0.0068169707998476945,0.02497227857338131,0.010937685307502644,0.34896631795246663,8,1
49,0.02,tanh,0.0039001963336137255,0.049681731490057654,0.005596877680769223,0.049284544298188945,0.004856269211732476,0.05754984696649984,0.007038666835939208,0.05954829727820859,9,1
50,0.02,tanh,0.011681369519742689,0.006713269760856367,0.008830637058960885,0.020383731815493314,0.014928080096440356,0.007988116220006586,0.011697388022307879,0.022816520931961203,0,2
51,0.02,tanh,0.00917530421413475,0.07945121682232323,0.006096235399833613,0.15285926442916065,0.011229350653244251,0.08212868112283747,0.007589885126827832,0.17252804850581827,1,2
52,0.02,tanh,0.00631927151616596,0.11933690878976164,0.005862394054803248,0.5407738726355131,0.008281494056223929,0.12326199540172686,0.007119670910268619,0.6592916511467011,2,2
53,0.02,tanh,0.00855397160393826,0.033576602157935696,0.008571458847499372,0.9643266856025493,0.010309191658350285,0.04522674415050777,0.01191159248735082,1.2040531526353366,3,2
54,0.02,tanh,0.008608183786937776,0.0016556035436567722,0.009483555215923771,0.0457765420767456,0.010270209252874071,0.001923598006818914,0.012699643239054233,0.05203742003570326,4,2
