,sigma,function,mae_nn_interp.,mae_nn_extrap.,mae_mdl_interp.,mae_mdl_extrap.,rmse_nn_interp.,rmse_nn_extrap.,rmse_mdl_interp.,rmse_mdl_extrap.,n,r
0,0.0,tanh,0.0008534344199724171,0.013223620756564339,0.0002727815743525115,0.019884473034682756,0.0012882489137251757,0.013444512828420352,0.00035386881162633626,0.02530825037258188,0,0
1,0.0,tanh,0.001840622509937121,0.01005872049479145,0.001976325099982307,0.11627326430502538,0.002559879863585263,0.011409810353943695,0.0023392928913965037,0.152120660545289,1,0
2,0.0,tanh,0.0009119625814387684,0.05013699561796957,0.0015192008008708142,0.29828250860760547,0.001100938863800688,0.06963330106709818,0.0019710928122062352,0.33572892709486607,2,0
3,0.0,tanh,0.00019600417515883536,0.023161658226315305,0.00011943034831262864,0.17484025762980768,0.000229695667034799,0.030902870850245456,0.00017532714921852875,2.283758451543085,3,0
4,0.0,tanh,0.0004035132374314796,0.017900589775848613,6.0133209373416704e-05,0.010949690568813574,0.0005090502824138067,0.020897550804888698,6.862054844622645e-05,0.013071420301124811,4,0
5,0.0,tanh,0.00032783449761618637,0.11794918631770973,0.0002464810059297983,0.12012907241986297,0.00043665007778018633,0.14111357903622276,0.00034138423171099866,0.14398247019978289,5,0
6,0.0,tanh,0.00032162643542051685,0.019269984503529344,0.0001787607285002778,0.04238653045025197,0.00037788558035183864,0.023520631512879125,0.00020662120035382298,0.05568664002046527,6,0
7,0.0,tanh,0.0005904777328925443,0.018178606902676465,0.00017492203424528455,0.018400583870697207,0.0007069550806291224,0.02366148000650434,0.00022683125405849344,0.024010418558006657,7,0
8,0.0,tanh,0.00021174381808151968,0.003727774680107864,2.6946223563622837e-05,0.00549807694249413,0.0002538093285428695,0.005145692690869098,3.371355558303714e-05,0.006408821703211515,8,0
9,0.0,tanh,0.00020282251732697346,0.049443723193224424,1.8362134297610194e-05,0.018939175504136943,0.0002508131996083221,0.058839805007765894,2.3607690669346116e-05,0.022122612986116216,9,0
10,0.0,tanh,0.0009932731334866016,0.01104711790241463,0.0005918703018234502,0.010436967769434117,0.001382502907984166,0.011490648463911726,0.0006892444861203644,0.014060139232208871,0,1
11,0.0,tanh,0.0014489902519773713,0.034299194979916604,0.0018405998312406278,inf,0.002088213853571265,0.03798360108565149,0.002309676793499789,inf,1,1
12,0.0,tanh,0.0006446462255078296,0.08208526988414407,0.0019303460756543653,0.19101937367398117,0.0007517761310856963,0.10359984274477228,0.002282292386632574,0.22117863735203377,2,1
