,sigma,function,mae_nn_interp.,mae_nn_extrap.,mae_mdl_interp.,mae_mdl_extrap.,rmse_nn_interp.,rmse_nn_extrap.,rmse_mdl_interp.,rmse_mdl_extrap.,n,r
0,0.0,tanh,0.02285597207119953,0.13366563769829834,0.0007836348729034664,0.00862724858440282,0.026332369184632602,0.1474268560213459,0.001022046611697734,0.008936298827455329,0,0
1,0.0,tanh,0.0127740605958786,0.05764105906686047,0.011467113378515395,454.6317455470494,0.01512690657983231,0.05878984501255687,0.01488630055759058,1291.5115773314278,1,0
2,0.0,tanh,0.00594515745460571,0.36028742727912916,0.008551671888878827,0.4133610750557233,0.01205796194098851,0.37991346655984076,0.011445772463129559,0.4587637251083596,2,0
3,0.0,tanh,0.003908850358687601,0.2779010647739342,0.0005270153481060564,0.09782072513923476,0.004950960729312014,0.3247392601608837,0.0007220578095076601,0.11774559730080361,3,0
4,0.0,tanh,0.0019347567399944044,0.014719206122151876,0.0005545867553065274,0.0068295272777778365,0.00255024940971953,0.017861786189981278,0.0007258762447198648,0.007297962518560171,4,0
5,0.0,tanh,0.0032873311839995644,0.13511264920677563,0.0022400826989033007,0.0923919681743523,0.004166343992676644,0.16882507748810854,0.0035920705051517856,0.1173761754212943,5,0
6,0.0,tanh,0.0022146454206792804,0.05069164959754696,0.0024717358203682,0.09368099048257496,0.0026513128097333497,0.057176096457148835,0.0031757206832816152,0.10721380494362309,6,0
7,0.0,tanh,0.003926220027935792,0.005741151468214749,0.0006129098443312293,0.06075617405380505,0.0055604621321392895,0.008227293632757055,0.0007708880364105868,0.07571109773623717,7,0
8,0.0,tanh,0.0006027856976545192,0.041242827873421,0.000213142702783596,0.0916231817970727,0.0006808835322632827,0.05120283662298532,0.0002571812244765506,0.12800336932266754,8,0
9,0.0,tanh,0.0013840772598894793,0.012721671566917846,4.7889660697947675e-05,0.026285486659219846,0.0016376369292399303,0.014975901893406468,6.548966114914182e-05,0.031003255598923012,9,0
10,0.0,tanh,0.011279785400835763,0.09208226611707454,0.0027724749997298072,0.48531851174775376,0.015950879757617557,0.0971230103735194,0.003411632406601723,0.613443622229974,0,1
11,0.0,tanh,0.010754029643404803,0.0763493080249154,0.010750797332774424,0.012676841677628335,0.012861756433027408,0.07853866551866664,0.015861016556628894,0.016801592187731126,1,1
12,0.0,tanh,0.004398461293845988,0.17404153119889945,0.004941184061563341,0.19946741166742474,0.007857425872607982,0.1796424707317407,0.00659458075917931,0.23667627111122794,2,1
13,0.0,tanh,0.002255211213564476,0.10832613001770802,0.00027934106044936086,5.572775001058137,0.0026213981617624173,0.12980460666763083,0.0007012312244544865,16.226606187611157,3,1
14,0.0,tanh,0.005028629297239149,0.040926993848206084,0.0005968790977860462,0.005315679836915948,0.007038808189980564,0.042551733642081896,0.0008223393453259817,0.007549296994758198,4,1
15,0.0,tanh,0.004219282763041934,0.0766636282233576,0.0003411188920093446,inf,0.007658580321089469,0.09605898132809192,0.0006512159297953157,inf,5,1
16,0.0,tanh,0.004855078993772097,0.043505666193800994,0.0005266395294114546,0.09891862792702877,0.005616761558997678,0.046835638406896224,0.0006481145962656254,0.1318252894359756,6,1
17,0.0,tanh,0.004280387492061982,0.014281558965216112,0.002935111193588437,0.011901712183951101,0.005766440073923714,0.020000485160684242,0.003814124459803497,0.01468041724130385,7,1
18,0.0,tanh,0.0014689923473090644,0.013842560535290437,0.00016482055958711304,0.01260619271544108,0.0018955352513009077,0.015704195592878806,0.00026951434903417563,0.0141538480532863,8,1
19,0.0,tanh,0.00213759887435867,0.028584381176285957,7.385147918029015e-05,0.006918480838047185,0.002984707408121489,0.035585365922888475,0.00010136573676299588,0.008712785109122772,9,1
